donor_id,blood_group,distance_km,days_since_last_donation,past_acceptance_rate,urgency_level,time_of_day,accept_probability,accepted
D126,O+,17.46,255,0.19,Medium,Morning,0.41,0
D127,O+,17.48,109,0.17,Medium,Evening,0.38,0
D128,O-,13.17,198,0.87,High,Night,0.75,0
D129,A-,17.51,48,0.66,Low,Evening,0.42,0
D130,AB+,8.96,80,0.78,High,Morning,0.68,1
D131,O+,18.12,53,0.39,Low,Evening,0.32,0
D132,O+,3.34,240,0.61,Low,Afternoon,0.79,1
D133,AB+,12.58,153,0.55,High,Afternoon,0.63,1
D134,B+,9.46,34,0.91,Medium,Evening,0.61,0
D135,O-,1.94,206,0.99,Medium,Night,0.97,1
D136,AB-,16.98,131,1.0,Medium,Morning,0.75,1
D137,A+,11.71,181,0.12,High,Night,0.47,1
D138,AB-,18.26,284,0.85,Medium,Afternoon,0.67,1
D139,A+,4.77,127,0.66,High,Afternoon,0.79,1
D140,AB+,6.52,255,0.13,Medium,Afternoon,0.55,1
D141,AB+,6.87,242,0.26,Low,Evening,0.6,1
D142,AB-,16.69,161,0.92,Medium,Evening,0.72,0
D143,O+,16.18,269,0.97,Low,Afternoon,0.75,0
D144,A-,19.36,217,0.18,Medium,Morning,0.38,1
D145,B-,9.37,164,0.63,High,Evening,0.71,1
D146,O-,9.69,197,0.92,Low,Morning,0.82,1
D147,A+,18.23,184,0.68,Low,Afternoon,0.6,1
D148,AB-,6.44,282,0.2,Low,Afternoon,0.58,1
D149,A-,13.57,244,0.63,High,Afternoon,0.65,0
D150,B-,16.76,238,0.95,Medium,Morning,0.73,1
D151,AB-,9.15,150,0.87,Low,Evening,0.81,1
D152,B-,1.68,171,0.27,Low,Night,0.68,1
D153,B-,13.01,40,0.15,Medium,Afternoon,0.26,0
D154,A+,1.84,136,0.63,Low,Evening,0.82,1
D155,A-,5.91,104,0.99,High,Evening,0.87,1
D156,A+,13.39,43,0.22,Medium,Afternoon,0.29,0
D157,O-,3.9,56,0.21,Medium,Morning,0.47,0
D158,A+,9.24,215,0.56,Low,Night,0.69,1
D159,O-,14.68,296,0.37,High,Morning,0.53,1
D160,A-,17.02,248,0.72,Medium,Night,0.63,1
D161,AB+,6.78,105,0.16,Medium,Evening,0.52,1
D162,B-,9.35,250,0.19,High,Morning,0.54,0
D163,A-,8.89,146,0.47,Medium,Night,0.65,1
D164,O-,6.59,190,0.7,Medium,Afternoon,0.78,1
D165,A+,1.81,73,0.18,Low,Evening,0.53,0
D166,O+,11.94,198,0.7,Medium,Evening,0.7,0
D167,B-,17.43,56,0.97,High,Evening,0.57,1
D168,AB-,3.52,276,0.3,Low,Evening,0.67,0
D169,AB+,2.74,172,0.62,Medium,Morning,0.81,1
D170,B+,1.06,169,0.73,Medium,Evening,0.88,1
D171,B-,17.46,235,0.16,High,Morning,0.4,1
D172,A-,7.84,262,0.41,Medium,Evening,0.65,0
D173,AB+,17.73,109,0.24,High,Morning,0.4,0
D174,A-,9.14,247,0.54,Medium,Night,0.68,1
D175,AB+,7.23,86,0.35,High,Night,0.55,1
D176,B-,1.39,232,0.99,Low,Morning,0.98,1
D177,O+,15.46,160,0.36,Low,Morning,0.51,1
D178,A+,3.93,224,0.58,Low,Evening,0.77,1
D179,O+,9.01,265,0.93,Medium,Night,0.84,1
D180,O-,6.15,237,0.12,Medium,Afternoon,0.56,0
D181,O+,16.72,215,0.18,Low,Afternoon,0.42,0
D182,B+,10.72,232,0.88,High,Evening,0.79,1
D183,B+,1.99,88,0.58,Low,Evening,0.72,1
D184,A-,5.11,104,0.33,Low,Afternoon,0.62,0
D185,AB-,3.95,282,0.52,High,Night,0.75,1
D186,AB+,17.35,191,0.24,Low,Night,0.44,0
D187,A+,16.03,58,0.42,Low,Evening,0.37,0
D188,A+,1.61,176,0.17,Low,Night,0.64,1
D189,O-,9.27,126,0.39,Medium,Afternoon,0.62,0
D190,O-,2.52,205,0.98,Low,Afternoon,0.95,1
D191,AB+,19.82,298,0.57,Low,Evening,0.53,1
D192,A-,8.05,203,0.71,Low,Evening,0.76,1
D193,B+,11.38,227,0.36,High,Afternoon,0.57,1
D194,A-,18.38,188,0.97,High,Night,0.71,1
D195,A-,6.54,222,0.68,Medium,Afternoon,0.77,1
D196,B-,13.1,246,0.56,Low,Evening,0.63,1
D197,A-,7.16,278,0.27,Low,Afternoon,0.6,1
D198,B+,10.4,299,0.13,Medium,Afternoon,0.5,0
D199,B-,3.66,114,0.75,Low,Night,0.83,1
D200,AB+,19.41,175,0.78,Medium,Afternoon,0.62,1
D201,O-,19.33,270,0.91,Low,Evening,0.67,0
D202,B-,9.5,174,0.8,High,Night,0.78,0
D203,A-,16.12,100,0.89,Low,Night,0.66,0
D204,AB+,14.37,294,0.87,Medium,Morning,0.73,0
D205,B-,9.26,292,0.23,Medium,Morning,0.55,0
D206,AB-,16.43,208,0.94,Medium,Morning,0.73,1
D207,AB-,5.1,71,0.44,Low,Evening,0.58,0
D208,O-,15.93,100,0.13,Medium,Afternoon,0.36,0
D209,B+,9.25,32,0.92,Low,Evening,0.61,1
D210,A+,11.2,300,0.48,Medium,Afternoon,0.62,1
D211,B-,5.15,264,0.16,Medium,Morning,0.59,0
D212,O+,14.51,179,0.49,High,Evening,0.58,1
D213,A+,4.15,73,0.57,Medium,Morning,0.65,0
D214,A+,8.11,270,0.14,Medium,Evening,0.53,1
D215,AB-,7.46,64,0.41,High,Morning,0.51,0
D216,O-,3.1,210,0.59,High,Afternoon,0.79,0
D217,O-,19.63,275,0.67,Low,Morning,0.57,0
D218,AB+,1.22,133,0.14,Low,Morning,0.64,1
D219,A+,10.55,272,0.33,High,Afternoon,0.57,1
D220,O-,17.38,199,0.35,Medium,Night,0.48,0
D221,AB-,17.95,227,0.41,Low,Night,0.49,0
D222,B+,18.52,295,0.34,Low,Night,0.46,1
D223,O+,11.14,194,0.19,Medium,Evening,0.51,1
D224,O+,3.75,257,0.42,Low,Evening,0.71,1
D225,B+,5.85,59,0.17,High,Night,0.43,1
D226,A-,19.08,103,0.86,High,Night,0.62,1
D227,O-,5.1,217,0.43,High,Morning,0.7,1
D228,O+,19.0,220,0.5,Low,Afternoon,0.52,0
D229,O-,6.63,172,0.32,Low,Morning,0.63,0
D230,AB+,10.6,90,0.34,Medium,Night,0.5,1
D231,O-,14.03,281,0.28,Low,Morning,0.5,1
D232,AB+,19.95,193,0.7,High,Morning,0.58,1
D233,B-,17.88,110,0.74,High,Afternoon,0.6,0
D234,AB-,2.87,132,0.81,Low,Night,0.88,1
D235,O-,9.61,96,0.65,Low,Morning,0.66,1
D236,A-,10.75,239,0.84,Low,Afternoon,0.77,0
D237,B+,9.27,294,0.41,High,Afternoon,0.62,0
D238,B+,8.94,58,0.85,High,Afternoon,0.65,1
D239,AB+,6.79,145,0.41,High,Evening,0.66,0
D240,B+,4.33,170,0.21,Medium,Morning,0.62,1
D241,A+,12.04,108,0.25,High,Evening,0.49,0
D242,O+,16.59,44,0.17,High,Evening,0.23,0
D243,AB+,12.55,45,0.55,High,Evening,0.44,0
D244,O+,9.92,237,0.37,Low,Morning,0.6,1
D245,AB-,9.94,134,0.41,Low,Evening,0.61,0
D246,A-,14.82,206,0.98,Low,Evening,0.77,1
D247,A+,6.72,268,0.21,Medium,Afternoon,0.58,1
D248,B+,6.16,226,0.88,Medium,Afternoon,0.86,0
D249,O-,16.36,190,0.27,Low,Night,0.46,0
D250,B-,10.23,187,0.55,Low,Night,0.67,1
D251,O-,4.7,210,0.14,Medium,Night,0.59,0
D252,AB-,6.07,34,0.86,Medium,Afternoon,0.64,0
D253,AB+,15.4,217,0.14,Low,Afternoon,0.42,1
D254,A-,1.93,288,0.51,High,Evening,0.78,0
D255,B-,3.01,79,0.45,Medium,Evening,0.63,0
D256,AB-,12.25,235,0.55,Low,Morning,0.64,1
D257,AB-,16.18,295,0.51,High,Afternoon,0.56,1
D258,AB+,3.67,183,0.63,High,Night,0.8,1
D259,AB+,9.76,38,0.43,High,Morning,0.42,0
D260,O-,16.04,43,0.64,Medium,Afternoon,0.42,0
D261,A-,3.82,224,0.23,High,Afternoon,0.63,1
D262,O+,4.22,255,0.38,Low,Night,0.69,0
D263,B-,10.29,271,0.89,High,Morning,0.8,1
D264,AB-,11.44,274,0.57,Medium,Afternoon,0.66,1
D265,AB+,11.15,165,0.65,Low,Afternoon,0.69,1
D266,O-,4.88,182,0.79,High,Afternoon,0.84,1
D267,O+,6.68,208,0.6,High,Evening,0.74,1
D268,A-,17.97,232,0.84,Low,Evening,0.67,1
D269,AB+,7.25,256,0.69,High,Night,0.77,1
D270,B-,18.69,169,0.22,High,Afternoon,0.41,1
D271,B+,12.94,56,0.19,Medium,Night,0.32,1
D272,AB+,0.6,110,0.47,Medium,Night,0.75,1
D273,A+,6.76,60,0.92,Low,Afternoon,0.72,1
D274,O+,18.31,119,0.48,Low,Morning,0.51,0
D275,A-,15.87,125,0.94,Medium,Morning,0.74,1
D276,B+,18.6,201,0.36,High,Night,0.46,0
D277,O-,17.1,269,0.35,Low,Evening,0.48,1
D278,B-,13.14,125,0.11,Medium,Evening,0.45,0
D279,A-,3.92,237,0.84,High,Evening,0.88,1
D280,B-,4.1,101,0.53,Low,Morning,0.7,1
D281,AB-,9.21,166,0.96,Medium,Morning,0.85,1
D282,AB+,14.01,61,0.7,Medium,Evening,0.52,1
D283,O-,13.96,181,0.43,Low,Afternoon,0.56,0
D284,B-,3.49,221,0.47,High,Night,0.74,0
D285,A-,15.36,71,0.57,High,Evening,0.48,1
D286,O-,1.7,288,0.28,High,Afternoon,0.69,1
D287,O-,2.77,135,0.75,Medium,Morning,0.86,0
D288,O-,16.27,262,0.22,Medium,Night,0.44,0
D289,B-,13.62,187,0.75,Medium,Evening,0.7,0
D290,A+,11.78,53,0.48,High,Morning,0.45,0
D291,B+,18.72,65,0.99,Medium,Morning,0.58,1
D292,O+,15.49,245,0.44,Medium,Night,0.54,0
D293,O+,7.83,98,0.69,Medium,Morning,0.7,1
D294,O+,10.81,144,0.85,Low,Evening,0.78,1
D295,A-,10.87,147,0.32,Medium,Afternoon,0.56,1
D296,A-,1.13,244,0.65,Low,Afternoon,0.84,1
D297,A+,12.08,258,0.64,High,Morning,0.67,1
D298,AB+,8.34,149,0.59,Low,Afternoon,0.71,1
D299,B+,5.07,193,0.62,High,Evening,0.77,1
D300,B+,19.72,296,0.3,Medium,Evening,0.42,1
D301,O+,12.71,248,0.6,Low,Evening,0.65,0
D302,B+,15.82,193,0.73,Medium,Afternoon,0.65,1
D303,B+,15.21,272,0.32,Low,Evening,0.5,0
D304,AB+,16.21,59,0.61,Medium,Afternoon,0.45,1
D305,B-,4.47,70,0.93,Medium,Morning,0.78,1
D306,B-,1.5,223,0.71,High,Morning,0.86,0
D307,A+,16.19,141,0.53,Medium,Evening,0.57,0
D308,B-,4.63,127,0.97,Low,Night,0.92,1
D309,AB-,8.23,152,0.6,Medium,Night,0.72,1
D310,O-,6.51,214,0.56,Medium,Night,0.73,1
D311,B-,15.35,193,0.92,Medium,Evening,0.74,1
D312,B-,14.95,38,0.33,High,Night,0.3,1
D313,AB-,6.93,224,0.61,Low,Night,0.74,1
D314,AB-,5.52,280,0.97,High,Night,0.91,1
D315,A-,3.8,280,0.27,High,Morning,0.65,1
D316,B-,18.93,54,0.79,Medium,Afternoon,0.47,0
D317,O-,1.83,107,0.11,High,Night,0.58,1
D318,AB+,13.36,38,0.11,High,Night,0.24,1
D319,B+,10.95,176,0.12,High,Night,0.48,0
D320,AB+,2.59,79,0.57,Low,Afternoon,0.69,1
D321,O-,16.4,166,0.82,Low,Evening,0.68,0
D322,O+,11.52,145,0.37,Low,Morning,0.58,1
D323,O+,7.85,273,0.15,Low,Afternoon,0.54,1
D324,O-,13.08,199,0.61,Low,Morning,0.65,1
D325,AB-,5.79,68,0.72,Medium,Morning,0.67,1
D326,AB+,0.81,136,0.63,High,Night,0.84,0
D327,B+,3.67,153,0.61,Medium,Evening,0.79,1
D328,B-,15.91,70,0.55,Medium,Morning,0.46,1
D329,AB-,16.85,204,0.64,High,Night,0.6,0
D330,O+,1.08,169,0.81,Medium,Night,0.91,1
D331,A-,8.92,224,0.18,High,Evening,0.54,0
D332,AB-,2.1,108,0.44,High,Afternoon,0.71,0
D333,AB+,7.53,76,0.1,Medium,Night,0.42,1
D334,A-,2.49,74,0.27,Medium,Night,0.56,1
D335,O+,7.4,77,0.64,Medium,Night,0.64,1
D336,B+,8.06,73,0.75,High,Afternoon,0.66,1
D337,A-,13.86,116,0.22,Medium,Evening,0.47,0
D338,B-,3.76,171,0.48,Medium,Morning,0.74,1
D339,AB+,14.56,283,0.63,Low,Night,0.63,1
D340,AB-,0.63,232,0.4,High,Night,0.75,0
D341,B-,9.08,250,0.83,High,Afternoon,0.8,1
D342,O-,9.84,120,0.97,Medium,Evening,0.84,1
D343,B-,19.37,154,0.39,Medium,Night,0.47,1
D344,O-,12.05,122,0.71,High,Morning,0.7,0
D345,O+,18.89,137,0.49,Medium,Morning,0.51,0
D346,O+,13.62,101,0.67,Low,Evening,0.62,0
D347,O+,15.89,67,0.5,High,Night,0.43,0
D348,B-,11.1,214,0.73,High,Morning,0.73,1
D349,O+,13.32,211,0.25,High,Morning,0.5,0
D350,AB+,19.35,199,0.97,Medium,Morning,0.7,1
D351,O+,4.83,295,0.6,High,Afternoon,0.77,1
D352,O+,9.53,286,0.24,Low,Night,0.55,1
D353,AB-,18.45,73,0.2,High,Afternoon,0.29,0
D354,O-,9.38,135,0.57,Medium,Night,0.69,1
D355,AB-,6.72,183,0.14,High,Morning,0.56,1
D356,B+,13.14,114,0.94,High,Afternoon,0.76,1
D357,B+,6.95,248,0.96,Low,Night,0.88,1
D358,O+,12.99,251,0.46,High,Afternoon,0.59,1
D359,B+,8.08,139,0.29,High,Morning,0.59,1
D360,AB-,7.63,130,0.51,Medium,Night,0.69,1
D361,B+,12.14,230,0.63,Medium,Evening,0.67,0
D362,AB-,16.37,182,0.93,High,Morning,0.73,1
D363,O+,2.8,186,0.21,Medium,Afternoon,0.64,1
D364,O-,12.13,226,0.48,Medium,Afternoon,0.61,1
D365,A+,6.13,125,0.38,Medium,Morning,0.66,0
D366,O-,9.95,129,0.83,High,Night,0.78,1
D367,B-,8.6,257,0.54,Low,Morning,0.69,0
D368,O-,6.2,170,0.3,Medium,Afternoon,0.63,0
D369,A+,11.22,87,0.62,Medium,Evening,0.6,1
D370,B-,15.32,255,0.59,Medium,Morning,0.61,0
D371,A-,6.31,46,0.5,Medium,Morning,0.52,1
D372,O+,15.62,151,0.29,High,Evening,0.48,0
D373,AB+,3.74,101,0.81,Low,Morning,0.82,1
D374,AB+,12.14,116,0.39,High,Evening,0.56,1
D375,O+,19.07,293,0.99,High,Morning,0.71,1
D376,AB-,18.42,171,0.88,Low,Afternoon,0.68,1
D377,O+,16.66,231,0.54,High,Evening,0.57,0
D378,AB-,9.31,77,0.46,High,Evening,0.54,0
D379,O-,9.37,279,0.39,Low,Morning,0.62,0
D380,O+,12.88,213,0.87,High,Night,0.75,1
D381,B+,16.58,283,0.34,Medium,Evening,0.49,0
D382,O-,11.54,278,0.81,High,Morning,0.75,1
D383,B+,0.82,110,0.5,Low,Night,0.76,1
D384,AB+,17.7,184,0.24,Medium,Morning,0.43,0
D385,B-,2.11,114,0.15,High,Evening,0.61,0
D386,B+,8.87,76,0.73,Low,Afternoon,0.65,1
D387,A-,12.08,295,0.71,Low,Morning,0.7,1
D388,A-,19.77,246,0.72,Medium,Morning,0.59,1
D389,B+,14.75,82,0.19,Medium,Evening,0.36,1
D390,B+,13.01,103,0.16,High,Morning,0.43,0
D391,O-,9.08,139,0.67,Low,Night,0.73,1
D392,O+,17.27,74,0.91,Low,Morning,0.59,1
D393,A-,7.35,249,0.38,Low,Afternoon,0.64,1
D394,AB+,5.34,175,0.8,High,Morning,0.84,0
D395,B-,4.51,290,0.27,Medium,Evening,0.64,0
D396,A+,10.15,87,0.32,High,Morning,0.49,0
D397,B+,19.74,192,0.22,High,Night,0.39,1
D398,A+,15.37,67,0.12,Low,Morning,0.28,1
D399,O+,18.49,233,0.56,High,Night,0.55,1
D400,B-,2.11,108,0.35,Medium,Morning,0.68,1
D401,O+,19.5,109,0.58,Medium,Morning,0.51,1
D402,A+,14.73,152,0.15,Low,Night,0.44,1
D403,B+,6.53,119,0.21,High,Afternoon,0.58,0
D404,B+,10.18,207,0.57,High,Evening,0.68,1
D405,O+,15.12,167,0.76,Low,Morning,0.68,1
D406,AB-,5.8,62,0.34,High,Morning,0.5,1
D407,A-,1.58,115,0.43,Medium,Morning,0.74,0
D408,AB-,4.95,290,0.1,Low,Afternoon,0.57,1
D409,B-,7.97,106,0.26,Low,Night,0.55,1
D410,A+,8.62,193,0.34,Low,Evening,0.61,1
D411,AB+,4.0,294,0.98,Medium,Morning,0.93,1
D412,B-,15.58,189,0.39,High,Night,0.52,1
D413,O-,6.19,185,0.77,Low,Night,0.82,1
D414,O+,19.96,130,0.76,High,Afternoon,0.6,1
D415,A+,0.97,207,0.67,High,Morning,0.85,0
D416,B-,15.3,222,0.86,High,Evening,0.71,1
D417,B-,8.69,60,0.98,Low,Evening,0.71,1
D418,A-,18.0,296,0.47,Medium,Night,0.52,0
D419,A+,11.83,288,0.22,Medium,Morning,0.51,0
D420,O+,8.98,96,0.31,Medium,Evening,0.53,0
D421,B-,14.16,197,0.39,Medium,Afternoon,0.54,1
D422,O+,3.15,85,0.24,Low,Night,0.56,1
D423,AB+,2.85,213,0.97,Low,Night,0.95,1
D424,A+,17.12,76,0.24,High,Evening,0.33,0
D425,O+,4.69,197,0.23,High,Afternoon,0.62,0
D426,O-,10.51,183,0.33,Low,Morning,0.57,0
D427,A+,11.34,157,0.19,Low,Afternoon,0.51,1
D428,A-,16.69,143,0.22,Medium,Evening,0.44,0
D429,B-,11.86,162,0.93,Low,Morning,0.79,0
D430,O-,18.1,257,0.83,Low,Evening,0.66,1
D431,O+,1.49,251,0.84,Medium,Night,0.91,1
D432,B+,3.87,139,0.92,Medium,Evening,0.91,1
D433,O-,1.18,155,0.68,Medium,Night,0.85,0
D434,B-,1.69,173,0.44,Medium,Afternoon,0.75,1
D435,O-,12.8,39,0.99,High,Evening,0.6,1
D436,B-,7.21,287,0.39,Medium,Afternoon,0.65,1
D437,B-,1.07,173,0.15,Medium,Evening,0.64,0
D438,A+,19.49,81,0.32,Low,Evening,0.34,0
D439,B+,15.4,142,0.62,Medium,Evening,0.62,0
D440,A+,3.93,192,0.83,High,Evening,0.87,0
D441,B-,14.22,210,0.95,High,Afternoon,0.77,1
D442,A+,16.82,282,0.59,Low,Night,0.58,1
D443,B-,5.04,142,0.12,Medium,Morning,0.57,1
D444,B+,16.23,204,0.75,Medium,Morning,0.66,1
D445,O+,15.6,299,0.87,Low,Evening,0.71,1
D446,O+,11.93,202,0.37,Low,Afternoon,0.57,0
D447,B+,15.94,279,0.68,Low,Evening,0.63,1
D448,O+,7.88,180,0.21,High,Morning,0.57,0
D449,A-,17.09,46,0.26,Medium,Afternoon,0.26,0
D450,AB-,18.77,102,0.4,Low,Afternoon,0.43,1
D451,AB+,3.77,75,0.84,High,Evening,0.77,1
D452,O-,4.59,64,0.42,Low,Morning,0.56,1
D453,O+,14.79,115,0.9,Medium,Night,0.73,1
D454,A-,2.48,275,0.81,High,Afternoon,0.89,1
D455,A-,16.08,47,0.37,Medium,Evening,0.32,0
D456,O-,7.17,222,0.24,Low,Morning,0.59,1
D457,A-,14.24,250,0.95,Low,Night,0.77,1
D458,AB+,6.96,127,0.47,High,Evening,0.68,1
D459,AB-,5.13,55,0.45,High,Night,0.54,1
D460,A+,0.57,74,0.37,High,Night,0.62,1
D461,O+,4.54,179,0.98,Medium,Morning,0.92,1
D462,O+,9.68,165,0.18,High,Night,0.53,1
D463,AB+,7.7,258,0.14,Medium,Night,0.54,1
D464,AB-,11.5,107,0.78,High,Morning,0.71,1
D465,O+,16.26,241,0.97,High,Afternoon,0.74,1
D466,B-,16.46,244,0.97,High,Night,0.74,1
D467,B+,9.79,70,0.46,High,Morning,0.51,1
D468,B+,2.85,259,0.26,Low,Afternoon,0.66,0
D469,B+,1.33,70,0.99,Medium,Afternoon,0.85,0
D470,O+,16.77,162,0.39,High,Morning,0.5,1
