date,region,blood_group,demand_units,supply_units,shortage_risk
2024-01-04,South,A+,39,20,High
2024-01-04,South,A-,40,20,High
2024-01-04,South,B+,13,9,High
2024-01-04,South,B-,20,18,Medium
2024-01-04,South,AB+,8,45,Low
2024-01-04,South,AB-,38,17,High
2024-01-04,South,O+,19,6,High
2024-01-04,South,O-,11,29,Low
2024-01-04,East,A+,26,33,Low
2024-01-04,East,A-,11,11,Low
2024-01-04,East,B+,5,38,Low
2024-01-04,East,B-,15,29,Low
2024-01-04,East,AB+,35,33,Medium
2024-01-04,East,AB-,17,21,Low
2024-01-04,East,O+,25,21,Medium
2024-01-04,East,O-,8,8,Low
2024-01-04,West,A+,19,37,Low
2024-01-04,West,A-,7,14,Low
2024-01-04,West,B+,31,14,High
2024-01-04,West,B-,7,28,Low
2024-01-04,West,AB+,36,14,High
2024-01-04,West,AB-,23,5,High
2024-01-04,West,O+,5,22,Low
2024-01-04,West,O-,11,24,Low
2024-01-04,Central,A+,23,32,Low
2024-01-04,Central,A-,39,36,Medium
2024-01-04,Central,B+,36,11,High
2024-01-04,Central,B-,37,32,Medium
2024-01-04,Central,AB+,22,15,High
2024-01-04,Central,AB-,12,24,Low
2024-01-04,Central,O+,15,32,Low
2024-01-04,Central,O-,21,14,High
2024-01-05,North,A+,5,24,Low
2024-01-05,North,A-,23,39,Low
2024-01-05,North,B+,17,14,Medium
2024-01-05,North,B-,30,30,Low
2024-01-05,North,AB+,37,23,High
2024-01-05,North,AB-,10,28,Low
2024-01-05,North,O+,11,14,Low
2024-01-05,North,O-,13,33,Low
2024-01-05,South,A+,25,18,Medium
2024-01-05,South,A-,5,19,Low
2024-01-05,South,B+,29,18,High
2024-01-05,South,B-,33,20,High
2024-01-05,South,AB+,26,22,Medium
2024-01-05,South,AB-,5,19,Low
2024-01-05,South,O+,28,18,High
2024-01-05,South,O-,8,45,Low
2024-01-05,East,A+,12,32,Low
2024-01-05,East,A-,24,13,High
2024-01-05,East,B+,30,35,Low
2024-01-05,East,B-,24,10,High
2024-01-05,East,AB+,23,26,Low
2024-01-05,East,AB-,19,17,Medium
2024-01-05,East,O+,13,33,Low
2024-01-05,East,O-,14,32,Low
2024-01-05,West,A+,28,29,Low
2024-01-05,West,A-,40,33,Medium
2024-01-05,West,B+,39,45,Low
2024-01-05,West,B-,18,18,Low
2024-01-05,West,AB+,10,36,Low
2024-01-05,West,AB-,33,36,Low
2024-01-05,West,O+,28,7,High
2024-01-05,West,O-,12,6,High
2024-01-05,Central,A+,40,35,Medium
2024-01-05,Central,A-,17,39,Low
2024-01-05,Central,B+,39,12,High
2024-01-05,Central,B-,15,23,Low
2024-01-05,Central,AB+,38,31,Medium
2024-01-05,Central,AB-,12,16,Low
2024-01-05,Central,O+,36,8,High
2024-01-05,Central,O-,37,31,Medium
2024-01-06,North,A+,8,32,Low
2024-01-06,North,A-,13,35,Low
2024-01-06,North,B+,31,32,Low
2024-01-06,North,B-,8,38,Low
2024-01-06,North,AB+,34,22,High
2024-01-06,North,AB-,6,28,Low
2024-01-06,North,O+,21,3,High
2024-01-06,North,O-,18,40,Low
2024-01-06,South,A+,9,5,High
2024-01-06,South,A-,32,25,Medium
2024-01-06,South,B+,9,37,Low
2024-01-06,South,B-,8,7,Medium
2024-01-06,South,AB+,35,5,High
2024-01-06,South,AB-,23,29,Low
2024-01-06,South,O+,16,11,High
2024-01-06,South,O-,31,26,Medium
2024-01-06,East,A+,29,31,Low
2024-01-06,East,A-,29,27,Medium
2024-01-06,East,B+,10,45,Low
2024-01-06,East,B-,39,11,High
2024-01-06,East,AB+,27,10,High
2024-01-06,East,AB-,16,37,Low
2024-01-06,East,O+,30,36,Low
2024-01-06,East,O-,13,17,Low
2024-01-06,West,A+,5,4,Medium
2024-01-06,West,A-,24,32,Low
2024-01-06,West,B+,39,30,Medium
2024-01-06,West,B-,39,27,High
2024-01-06,West,AB+,19,18,Medium
2024-01-06,West,AB-,34,25,Medium
2024-01-06,West,O+,14,20,Low
2024-01-06,West,O-,17,10,High
2024-01-06,Central,A+,7,45,Low
2024-01-06,Central,A-,31,42,Low
2024-01-06,Central,B+,6,18,Low
2024-01-06,Central,B-,18,7,High
2024-01-06,Central,AB+,11,41,Low
2024-01-06,Central,AB-,7,31,Low
2024-01-06,Central,O+,8,18,Low
2024-01-06,Central,O-,7,28,Low
2024-01-07,North,A+,33,17,High
2024-01-07,North,A-,39,16,High
2024-01-07,North,B+,8,11,Low
2024-01-07,North,B-,37,21,High
2024-01-07,North,AB+,19,39,Low
2024-01-07,North,AB-,25,39,Low
2024-01-07,North,O+,25,18,Medium
2024-01-07,North,O-,24,12,High
2024-01-07,South,A+,38,17,High
2024-01-07,South,A-,31,22,Medium
2024-01-07,South,B+,22,6,High
2024-01-07,South,B-,40,40,Low
2024-01-07,South,AB+,16,43,Low
2024-01-07,South,AB-,32,38,Low
2024-01-07,South,O+,36,6,High
2024-01-07,South,O-,27,44,Low
2024-01-07,East,A+,29,36,Low
2024-01-07,East,A-,25,29,Low
2024-01-07,East,B+,31,12,High
2024-01-07,East,B-,24,27,Low
2024-01-07,East,AB+,16,37,Low
2024-01-07,East,AB-,35,18,High
2024-01-07,East,O+,19,22,Low
2024-01-07,East,O-,14,32,Low
2024-01-07,West,A+,8,38,Low
2024-01-07,West,A-,31,29,Medium
2024-01-07,West,B+,40,36,Medium
2024-01-07,West,B-,13,27,Low
2024-01-07,West,AB+,20,19,Medium
2024-01-07,West,AB-,18,24,Low
2024-01-07,West,O+,10,31,Low
2024-01-07,West,O-,28,8,High
2024-01-07,Central,A+,39,15,High
2024-01-07,Central,A-,8,20,Low
2024-01-07,Central,B+,29,41,Low
2024-01-07,Central,B-,7,7,Low
2024-01-07,Central,AB+,17,40,Low
2024-01-07,Central,AB-,40,16,High
2024-01-07,Central,O+,35,16,High
2024-01-07,Central,O-,26,22,Medium
2024-01-08,North,A+,5,16,Low
2024-01-08,North,A-,17,10,High
2024-01-08,North,B+,35,18,High
2024-01-08,North,B-,18,28,Low
2024-01-08,North,AB+,20,38,Low
2024-01-08,North,AB-,25,21,Medium
2024-01-08,North,O+,29,32,Low
2024-01-08,North,O-,39,44,Low
2024-01-08,South,A+,27,22,Medium
2024-01-08,South,A-,21,26,Low
2024-01-08,South,B+,37,34,Medium
2024-01-08,South,B-,34,9,High
2024-01-08,South,AB+,35,23,High
2024-01-08,South,AB-,18,26,Low
2024-01-08,South,O+,25,29,Low
2024-01-08,South,O-,7,39,Low
2024-01-08,East,A+,19,12,High
2024-01-08,East,A-,6,19,Low
2024-01-08,East,B+,40,40,Low
2024-01-08,East,B-,31,21,High
2024-01-08,East,AB+,14,15,Low
2024-01-08,East,AB-,26,17,High
2024-01-08,East,O+,29,39,Low
2024-01-08,East,O-,20,34,Low
2024-01-08,West,A+,40,44,Low
2024-01-08,West,A-,26,19,Medium
2024-01-08,West,B+,36,44,Low
2024-01-08,West,B-,36,32,Medium
2024-01-08,West,AB+,15,25,Low
2024-01-08,West,AB-,15,11,Medium
2024-01-08,West,O+,39,34,Medium
2024-01-08,West,O-,16,37,Low
2024-01-08,Central,A+,8,36,Low
2024-01-08,Central,A-,7,7,Low
2024-01-08,Central,B+,8,3,High
2024-01-08,Central,B-,31,11,High
2024-01-08,Central,AB+,19,7,High
2024-01-08,Central,AB-,14,3,High
2024-01-08,Central,O+,18,35,Low
2024-01-08,Central,O-,34,26,Medium
2024-01-09,North,A+,8,42,Low
2024-01-09,North,A-,35,45,Low
2024-01-09,North,B+,36,4,High
2024-01-09,North,B-,5,37,Low
2024-01-09,North,AB+,40,29,Medium
2024-01-09,North,AB-,5,4,Medium
2024-01-09,North,O+,38,20,High
2024-01-09,North,O-,39,21,High
2024-01-09,South,A+,6,35,Low
2024-01-09,South,A-,32,14,High
2024-01-09,South,B+,11,9,Medium
2024-01-09,South,B-,38,12,High
2024-01-09,South,AB+,20,15,Medium
2024-01-09,South,AB-,38,19,High
2024-01-09,South,O+,27,20,Medium
2024-01-09,South,O-,30,8,High
2024-01-09,East,A+,28,28,Low
2024-01-09,East,A-,34,39,Low
2024-01-09,East,B+,20,17,Medium
2024-01-09,East,B-,24,8,High
2024-01-09,East,AB+,7,8,Low
2024-01-09,East,AB-,30,27,Medium
2024-01-09,East,O+,29,38,Low
2024-01-09,East,O-,35,6,High
2024-01-09,West,A+,5,13,Low
2024-01-09,West,A-,10,34,Low
2024-01-09,West,B+,32,44,Low
2024-01-09,West,B-,26,39,Low
2024-01-09,West,AB+,11,36,Low
2024-01-09,West,AB-,7,17,Low
2024-01-09,West,O+,18,39,Low
2024-01-09,West,O-,35,20,High
2024-01-09,Central,A+,7,7,Low
2024-01-09,Central,A-,22,37,Low
2024-01-09,Central,B+,7,14,Low
2024-01-09,Central,B-,25,4,High
2024-01-09,Central,AB+,18,40,Low
2024-01-09,Central,AB-,14,28,Low
2024-01-09,Central,O+,9,22,Low
2024-01-09,Central,O-,15,39,Low
2024-01-10,North,A+,20,39,Low
2024-01-10,North,A-,29,37,Low
2024-01-10,North,B+,26,27,Low
2024-01-10,North,B-,13,8,High
2024-01-10,North,AB+,37,25,High
2024-01-10,North,AB-,8,9,Low
2024-01-10,North,O+,32,17,High
2024-01-10,North,O-,9,24,Low
2024-01-10,South,A+,30,23,Medium
2024-01-10,South,A-,6,43,Low
2024-01-10,South,B+,22,31,Low
2024-01-10,South,B-,36,17,High
2024-01-10,South,AB+,27,38,Low
2024-01-10,South,AB-,29,30,Low
2024-01-10,South,O+,16,40,Low
2024-01-10,South,O-,29,8,High
2024-01-10,East,A+,23,18,Medium
2024-01-10,East,A-,9,8,Medium
2024-01-10,East,B+,22,12,High
2024-01-10,East,B-,29,43,Low
2024-01-10,East,AB+,14,27,Low
2024-01-10,East,AB-,25,26,Low
2024-01-10,East,O+,11,8,Medium
2024-01-10,East,O-,5,22,Low
2024-01-10,West,A+,33,26,Medium
2024-01-10,West,A-,22,9,High
2024-01-10,West,B+,13,8,High
2024-01-10,West,B-,16,30,Low
2024-01-10,West,AB+,33,38,Low
2024-01-10,West,AB-,40,35,Medium
2024-01-10,West,O+,31,9,High
2024-01-10,West,O-,6,8,Low
2024-01-10,Central,A+,27,38,Low
2024-01-10,Central,A-,10,41,Low
2024-01-10,Central,B+,25,27,Low
2024-01-10,Central,B-,5,21,Low
2024-01-10,Central,AB+,31,27,Medium
2024-01-10,Central,AB-,10,38,Low
2024-01-10,Central,O+,20,39,Low
2024-01-10,Central,O-,38,13,High
2024-01-11,North,A+,29,13,High
2024-01-11,North,A-,13,20,Low
2024-01-11,North,B+,24,20,Medium
2024-01-11,North,B-,36,12,High
2024-01-11,North,AB+,9,13,Low
2024-01-11,North,AB-,32,20,High
2024-01-11,North,O+,31,22,Medium
2024-01-11,North,O-,35,7,High
2024-01-11,South,A+,28,19,High
2024-01-11,South,A-,20,43,Low
2024-01-11,South,B+,36,41,Low
2024-01-11,South,B-,17,32,Low
2024-01-11,South,AB+,11,11,Low
2024-01-11,South,AB-,24,3,High
2024-01-11,South,O+,30,24,Medium
2024-01-11,South,O-,29,24,Medium
2024-01-11,East,A+,33,24,Medium
2024-01-11,East,A-,32,44,Low
2024-01-11,East,B+,13,22,Low
2024-01-11,East,B-,25,41,Low
2024-01-11,East,AB+,17,33,Low
2024-01-11,East,AB-,25,14,High
2024-01-11,East,O+,30,23,Medium
2024-01-11,East,O-,23,43,Low
2024-01-11,West,A+,36,39,Low
2024-01-11,West,A-,20,23,Low
2024-01-11,West,B+,29,20,High
2024-01-11,West,B-,30,26,Medium
2024-01-11,West,AB+,12,39,Low
2024-01-11,West,AB-,17,40,Low
2024-01-11,West,O+,39,14,High
2024-01-11,West,O-,40,4,High
2024-01-11,Central,A+,34,16,High
2024-01-11,Central,A-,33,21,High
2024-01-11,Central,B+,9,29,Low
2024-01-11,Central,B-,36,11,High
2024-01-11,Central,AB+,24,18,Medium
2024-01-11,Central,AB-,21,45,Low
2024-01-11,Central,O+,14,30,Low
2024-01-11,Central,O-,29,7,High
2024-01-12,North,A+,33,41,Low
2024-01-12,North,A-,35,40,Low
2024-01-12,North,B+,30,37,Low
2024-01-12,North,B-,37,29,Medium
2024-01-12,North,AB+,39,5,High
2024-01-12,North,AB-,28,37,Low
2024-01-12,North,O+,10,9,Medium
2024-01-12,North,O-,20,45,Low
2024-01-12,South,A+,27,13,High
2024-01-12,South,A-,7,39,Low
2024-01-12,South,B+,30,24,Medium
2024-01-12,South,B-,32,9,High
2024-01-12,South,AB+,5,9,Low
2024-01-12,South,AB-,21,17,Medium
2024-01-12,South,O+,37,36,Medium
2024-01-12,South,O-,40,40,Low
2024-01-12,East,A+,19,31,Low
2024-01-12,East,A-,28,28,Low
2024-01-12,East,B+,34,40,Low
2024-01-12,East,B-,37,12,High
2024-01-12,East,AB+,27,4,High
2024-01-12,East,AB-,35,9,High
2024-01-12,East,O+,23,29,Low
2024-01-12,East,O-,10,10,Low
2024-01-12,West,A+,14,25,Low
2024-01-12,West,A-,24,24,Low
2024-01-12,West,B+,34,16,High
2024-01-12,West,B-,38,33,Medium
2024-01-12,West,AB+,27,33,Low
2024-01-12,West,AB-,11,31,Low
2024-01-12,West,O+,33,23,High
2024-01-12,West,O-,9,22,Low
2024-01-12,Central,A+,7,10,Low
2024-01-12,Central,A-,6,24,Low
2024-01-12,Central,B+,11,13,Low
2024-01-12,Central,B-,20,36,Low
2024-01-12,Central,AB+,16,38,Low
2024-01-12,Central,AB-,15,24,Low
2024-01-12,Central,O+,40,30,Medium
2024-01-12,Central,O-,34,17,High
2024-01-13,North,A+,30,43,Low
2024-01-13,North,A-,16,14,Medium
2024-01-13,North,B+,32,28,Medium
2024-01-13,North,B-,6,42,Low
2024-01-13,North,AB+,17,31,Low
2024-01-13,North,AB-,32,27,Medium
2024-01-13,North,O+,5,16,Low
2024-01-13,North,O-,18,20,Low
2024-01-13,South,A+,9,39,Low
2024-01-13,South,A-,11,37,Low
2024-01-13,South,B+,16,26,Low
2024-01-13,South,B-,25,15,High
2024-01-13,South,AB+,34,10,High
2024-01-13,South,AB-,21,45,Low
2024-01-13,South,O+,36,36,Low
2024-01-13,South,O-,25,41,Low
2024-01-13,East,A+,29,42,Low
2024-01-13,East,A-,30,40,Low
2024-01-13,East,B+,12,25,Low
2024-01-13,East,B-,27,32,Low
2024-01-13,East,AB+,16,22,Low
2024-01-13,East,AB-,10,11,Low
2024-01-13,East,O+,25,10,High
2024-01-13,East,O-,20,22,Low
2024-01-13,West,A+,12,14,Low
2024-01-13,West,A-,28,12,High
2024-01-13,West,B+,37,27,Medium
2024-01-13,West,B-,31,41,Low
2024-01-13,West,AB+,13,39,Low
2024-01-13,West,AB-,29,30,Low
2024-01-13,West,O+,16,34,Low
2024-01-13,West,O-,39,44,Low
2024-01-13,Central,A+,16,38,Low
2024-01-13,Central,A-,15,34,Low
2024-01-13,Central,B+,23,11,High
2024-01-13,Central,B-,16,23,Low
2024-01-13,Central,AB+,33,42,Low
2024-01-13,Central,AB-,8,25,Low
2024-01-13,Central,O+,5,34,Low
2024-01-13,Central,O-,13,15,Low
2024-01-14,North,A+,29,38,Low
2024-01-14,North,A-,37,44,Low
2024-01-14,North,B+,36,29,Medium
2024-01-14,North,B-,36,29,Medium
2024-01-14,North,AB+,33,34,Low
2024-01-14,North,AB-,15,8,High
2024-01-14,North,O+,6,17,Low
2024-01-14,North,O-,23,5,High
2024-01-14,South,A+,22,17,Medium
2024-01-14,South,A-,39,21,High
2024-01-14,South,B+,15,32,Low
2024-01-14,South,B-,36,38,Low
2024-01-14,South,AB+,37,10,High
2024-01-14,South,AB-,12,20,Low
2024-01-14,South,O+,39,26,High
2024-01-14,South,O-,39,5,High
2024-01-14,East,A+,33,37,Low
2024-01-14,East,A-,18,30,Low
2024-01-14,East,B+,11,44,Low
2024-01-14,East,B-,20,22,Low
2024-01-14,East,AB+,7,31,Low
2024-01-14,East,AB-,21,25,Low
2024-01-14,East,O+,10,31,Low
2024-01-14,East,O-,12,18,Low
2024-01-14,West,A+,18,40,Low
2024-01-14,West,A-,27,42,Low
2024-01-14,West,B+,32,13,High
2024-01-14,West,B-,13,16,Low
2024-01-14,West,AB+,18,6,High
2024-01-14,West,AB-,27,37,Low
2024-01-14,West,O+,22,41,Low
2024-01-14,West,O-,39,13,High
2024-01-14,Central,A+,25,21,Medium
2024-01-14,Central,A-,23,39,Low
2024-01-14,Central,B+,22,35,Low
2024-01-14,Central,B-,11,11,Low
2024-01-14,Central,AB+,31,6,High
2024-01-14,Central,AB-,22,44,Low
2024-01-14,Central,O+,13,11,Medium
2024-01-14,Central,O-,20,12,High
2024-01-15,North,A+,25,18,Medium
2024-01-15,North,A-,30,34,Low
2024-01-15,North,B+,14,39,Low
2024-01-15,North,B-,22,43,Low
2024-01-15,North,AB+,31,27,Medium
2024-01-15,North,AB-,33,7,High
2024-01-15,North,O+,10,28,Low
2024-01-15,North,O-,37,20,High
2024-01-15,South,A+,28,32,Low
2024-01-15,South,A-,36,23,High
2024-01-15,South,B+,5,8,Low
2024-01-15,South,B-,34,43,Low
2024-01-15,South,AB+,27,7,High
2024-01-15,South,AB-,39,28,Medium
2024-01-15,South,O+,18,30,Low
2024-01-15,South,O-,18,34,Low
2024-01-15,East,A+,22,23,Low
2024-01-15,East,A-,23,24,Low
2024-01-15,East,B+,40,39,Medium
2024-01-15,East,B-,13,39,Low
2024-01-15,East,AB+,36,24,High
2024-01-15,East,AB-,8,5,High
2024-01-15,East,O+,11,43,Low
2024-01-15,East,O-,34,4,High
2024-01-15,West,A+,12,13,Low
2024-01-15,West,A-,33,32,Medium
2024-01-15,West,B+,5,30,Low
2024-01-15,West,B-,17,11,High
2024-01-15,West,AB+,24,13,High
2024-01-15,West,AB-,22,8,High
2024-01-15,West,O+,28,19,High
2024-01-15,West,O-,10,26,Low
2024-01-15,Central,A+,15,6,High
2024-01-15,Central,A-,30,43,Low
2024-01-15,Central,B+,24,17,Medium
2024-01-15,Central,B-,32,44,Low
2024-01-15,Central,AB+,10,9,Medium
2024-01-15,Central,AB-,5,16,Low
2024-01-15,Central,O+,35,7,High
2024-01-15,Central,O-,13,40,Low
2024-01-16,North,A+,19,36,Low
2024-01-16,North,A-,33,3,High
2024-01-16,North,B+,5,24,Low
2024-01-16,North,B-,12,30,Low
2024-01-16,North,AB+,13,33,Low
2024-01-16,North,AB-,9,17,Low
2024-01-16,North,O+,29,8,High
2024-01-16,North,O-,11,9,Medium
2024-01-16,South,A+,25,26,Low
2024-01-16,South,A-,24,11,High
2024-01-16,South,B+,29,11,High
2024-01-16,South,B-,14,7,High
2024-01-16,South,AB+,38,39,Low
2024-01-16,South,AB-,5,42,Low
2024-01-16,South,O+,15,31,Low
2024-01-16,South,O-,27,16,High
2024-01-16,East,A+,14,29,Low
2024-01-16,East,A-,33,16,High
2024-01-16,East,B+,10,9,Medium
2024-01-16,East,B-,13,10,Medium
2024-01-16,East,AB+,29,25,Medium
2024-01-16,East,AB-,32,23,Medium
2024-01-16,East,O+,13,18,Low
2024-01-16,East,O-,22,44,Low
2024-01-16,West,A+,10,18,Low
2024-01-16,West,A-,40,41,Low
2024-01-16,West,B+,23,4,High
2024-01-16,West,B-,24,16,High
2024-01-16,West,AB+,38,41,Low
2024-01-16,West,AB-,37,15,High
2024-01-16,West,O+,30,21,Medium
2024-01-16,West,O-,8,18,Low
2024-01-16,Central,A+,36,27,Medium
2024-01-16,Central,A-,12,18,Low
2024-01-16,Central,B+,36,43,Low
2024-01-16,Central,B-,9,36,Low
2024-01-16,Central,AB+,5,26,Low
2024-01-16,Central,AB-,25,11,High
2024-01-16,Central,O+,29,39,Low
2024-01-16,Central,O-,31,26,Medium
2024-01-17,North,A+,39,14,High
2024-01-17,North,A-,35,7,High
2024-01-17,North,B+,6,40,Low
2024-01-17,North,B-,9,3,High
2024-01-17,North,AB+,21,16,Medium
2024-01-17,North,AB-,7,6,Medium
2024-01-17,North,O+,30,35,Low
2024-01-17,North,O-,23,43,Low
2024-01-17,South,A+,37,29,Medium
2024-01-17,South,A-,32,28,Medium
2024-01-17,South,B+,10,43,Low
2024-01-17,South,B-,39,37,Medium
2024-01-17,South,AB+,14,20,Low
2024-01-17,South,AB-,10,22,Low
2024-01-17,South,O+,10,35,Low
2024-01-17,South,O-,18,12,High
2024-01-17,East,A+,39,23,High
2024-01-17,East,A-,30,40,Low
2024-01-17,East,B+,9,22,Low
2024-01-17,East,B-,32,18,High
2024-01-17,East,AB+,8,18,Low
2024-01-17,East,AB-,10,30,Low
2024-01-17,East,O+,12,32,Low
2024-01-17,East,O-,8,22,Low
2024-01-17,West,A+,16,10,High
2024-01-17,West,A-,5,11,Low
2024-01-17,West,B+,5,13,Low
2024-01-17,West,B-,36,25,High
2024-01-17,West,AB+,38,36,Medium
2024-01-17,West,AB-,21,13,High
2024-01-17,West,O+,28,11,High
2024-01-17,West,O-,22,10,High
2024-01-17,Central,A+,6,24,Low
2024-01-17,Central,A-,32,20,High
2024-01-17,Central,B+,38,7,High
2024-01-17,Central,B-,21,39,Low
2024-01-17,Central,AB+,9,34,Low
2024-01-17,Central,AB-,34,35,Low
2024-01-17,Central,O+,28,6,High
2024-01-17,Central,O-,36,39,Low
2024-01-18,North,A+,15,26,Low
2024-01-18,North,A-,15,19,Low
2024-01-18,North,B+,11,39,Low
2024-01-18,North,B-,12,17,Low
2024-01-18,North,AB+,37,3,High
2024-01-18,North,AB-,7,3,High
2024-01-18,North,O+,20,5,High
2024-01-18,North,O-,35,26,Medium
2024-01-18,South,A+,29,12,High
2024-01-18,South,A-,16,5,High
2024-01-18,South,B+,40,44,Low
2024-01-18,South,B-,31,17,High
2024-01-18,South,AB+,25,18,Medium
2024-01-18,South,AB-,31,23,Medium
2024-01-18,South,O+,22,7,High
2024-01-18,South,O-,28,10,High
2024-01-18,East,A+,37,6,High
2024-01-18,East,A-,16,17,Low
2024-01-18,East,B+,38,5,High
2024-01-18,East,B-,30,7,High
2024-01-18,East,AB+,34,21,High
2024-01-18,East,AB-,24,23,Medium
2024-01-18,East,O+,10,38,Low
2024-01-18,East,O-,34,3,High
2024-01-18,West,A+,28,15,High
2024-01-18,West,A-,23,39,Low
2024-01-18,West,B+,24,42,Low
2024-01-18,West,B-,20,32,Low
2024-01-18,West,AB+,28,40,Low
2024-01-18,West,AB-,36,15,High
2024-01-18,West,O+,39,18,High
2024-01-18,West,O-,14,3,High
2024-01-18,Central,A+,31,4,High
2024-01-18,Central,A-,19,37,Low
2024-01-18,Central,B+,27,43,Low
2024-01-18,Central,B-,5,24,Low
2024-01-18,Central,AB+,5,45,Low
2024-01-18,Central,AB-,29,22,Medium
2024-01-18,Central,O+,11,16,Low
2024-01-18,Central,O-,38,18,High
2024-01-19,North,A+,31,34,Low
2024-01-19,North,A-,8,12,Low
