donor_id,total_requests,accepted_requests,completed_donations,no_shows,avg_response_time_minutes,reliability_score
D131,33,4,3,1,52.7,0.19
D132,43,36,12,24,87.6,0.44
D133,27,15,12,3,33.1,0.53
D134,44,44,0,44,107.7,0.32
D135,9,6,1,5,25.2,0.41
D136,47,33,29,4,10.8,0.7
D137,18,3,3,0,20.3,0.3
D138,32,20,14,6,75.5,0.48
D139,49,32,27,5,100.5,0.5
D140,38,28,28,0,23.3,0.75
D141,33,28,8,20,91.5,0.42
D142,43,17,16,1,60.7,0.4
D143,18,8,7,1,13.9,0.5
D144,21,7,4,3,43.6,0.32
D145,37,5,1,4,22.3,0.22
D146,27,22,4,18,86.2,0.37
D147,7,6,3,3,43.1,0.6
D148,32,26,1,25,28.8,0.41
D149,29,12,12,0,72.2,0.41
D150,47,1,1,0,59.9,0.12
D151,25,9,6,3,103.1,0.26
D152,29,17,17,0,97.0,0.51
D153,17,15,7,8,36.4,0.61
D154,34,1,1,0,43.7,0.15
D155,46,25,23,2,24.0,0.57
D156,32,8,8,0,8.1,0.39
D157,28,18,18,0,81.2,0.58
D158,8,6,1,5,104.7,0.31
D159,14,0,0,0,48.6,0.12
D160,16,14,5,9,43.8,0.55
D161,27,8,6,2,34.0,0.34
D162,8,7,0,7,91.1,0.31
D163,6,2,0,2,79.8,0.17
D164,44,2,0,2,114.2,0.02
D165,15,0,0,0,32.4,0.15
D166,33,7,3,4,58.5,0.21
D167,19,11,2,9,74.7,0.3
D168,50,45,7,38,94.4,0.38
D169,13,4,0,4,71.5,0.17
D170,22,18,12,6,50.6,0.63
D171,48,12,1,11,73.1,0.16
D172,43,15,3,12,85.2,0.2
D173,22,21,19,2,97.6,0.76
D174,39,2,1,1,66.3,0.12
D175,45,23,2,21,63.2,0.27
D176,24,0,0,0,99.6,0.03
D177,9,6,2,4,78.1,0.38
D178,32,9,6,3,25.3,0.34
D179,36,17,17,0,94.1,0.42
D180,32,27,26,1,89.1,0.71
D181,20,10,3,7,100.5,0.26
D182,8,4,3,1,33.0,0.48
D183,32,24,10,14,8.3,0.57
D184,23,5,3,2,29.4,0.28
D185,19,10,4,6,106.2,0.29
D186,47,17,17,0,6.2,0.48
D187,15,2,0,2,87.8,0.09
D188,34,15,15,0,79.3,0.42
D189,34,28,25,3,7.0,0.8
D190,21,7,6,1,84.6,0.3
D191,22,21,18,3,47.4,0.82
D192,38,33,22,11,53.9,0.66
D193,50,35,21,14,45.5,0.54
D194,32,17,9,8,33.9,0.44
D195,10,3,2,1,18.7,0.36
D196,37,11,3,8,29.9,0.28
D197,33,17,16,1,73.6,0.47
D198,9,3,2,1,31.2,0.36
D199,14,4,0,4,86.4,0.14
D200,11,4,0,4,117.0,0.11
D201,38,18,4,14,78.4,0.26
D202,34,6,6,0,6.4,0.33
D203,21,15,15,0,55.7,0.68
D204,14,0,0,0,113.2,0.01
D205,33,7,1,6,51.1,0.19
D206,7,0,0,0,22.2,0.16
D207,39,19,2,17,119.3,0.17
D208,10,8,6,2,74.7,0.62
D209,42,14,12,2,65.1,0.33
D210,31,28,9,19,103.9,0.44
D211,30,9,9,0,76.4,0.31
D212,42,6,6,0,28.9,0.27
D213,16,8,1,7,23.1,0.34
D214,14,8,1,7,23.0,0.37
D215,29,14,11,3,73.3,0.41
D216,21,1,0,1,38.1,0.15
D217,21,14,1,13,84.0,0.28
D218,19,18,6,12,53.9,0.55
D219,37,14,10,4,22.1,0.41
D220,20,4,0,4,11.9,0.24
D221,22,19,18,1,110.9,0.68
D222,31,7,7,0,84.2,0.24
D223,47,25,8,17,62.6,0.34
D224,34,28,2,26,73.8,0.35
D225,30,23,10,13,74.4,0.47
D226,4,0,0,0,115.6,0.01
D227,39,37,1,36,120.0,0.3
D228,46,17,1,16,92.8,0.17
D229,14,7,7,0,110.3,0.42
D230,14,9,6,3,78.0,0.48
D231,34,5,3,2,45.0,0.21
D232,24,10,10,0,17.0,0.51
D233,13,5,3,2,84.8,0.29
D234,21,21,12,9,98.6,0.62
D235,38,2,1,1,15.1,0.2
D236,19,10,1,9,116.6,0.19
D237,28,27,16,11,99.9,0.61
D238,3,3,3,0,11.2,0.98
D239,36,23,19,4,92.0,0.5
D240,43,28,24,4,10.9,0.66
D241,20,17,4,13,111.7,0.37
D242,31,31,7,24,8.3,0.6
D243,43,38,15,23,86.6,0.5
D244,22,17,0,17,68.5,0.32
D245,8,3,0,3,58.1,0.22
D246,10,10,2,8,62.3,0.5
D247,48,18,16,2,86.1,0.34
D248,29,26,15,11,117.7,0.53
D249,18,14,8,6,21.6,0.62
D250,15,4,0,4,36.8,0.22
D251,29,10,8,2,35.7,0.38
D252,3,2,2,0,39.3,0.67
D253,40,37,31,6,104.5,0.69
D254,31,30,11,19,43.2,0.6
D255,37,24,14,10,112.3,0.4
D256,15,7,6,1,31.9,0.49
D257,29,1,1,0,90.6,0.08
D258,48,24,12,12,118.7,0.28
D259,44,9,7,2,116.0,0.15
D260,11,8,5,3,105.0,0.47
D261,31,6,4,2,109.7,0.14
D262,3,1,1,0,105.2,0.29
D263,12,1,1,0,94.9,0.11
D264,19,10,9,1,84.7,0.45
D265,44,5,2,3,103.0,0.09
D266,37,24,10,14,77.1,0.4
D267,34,34,2,32,76.0,0.4
D268,18,9,3,6,90.9,0.28
D269,30,3,0,3,56.0,0.14
D270,47,19,0,19,10.3,0.3
D271,6,2,1,1,48.1,0.3
D272,12,3,3,0,70.1,0.28
D273,14,2,0,2,14.1,0.22
D274,27,19,7,12,62.2,0.44
D275,40,9,3,6,58.0,0.21
D276,19,14,4,10,81.7,0.39
D277,32,18,17,1,23.2,0.6
D278,31,22,18,4,39.4,0.64
D279,30,22,8,14,57.5,0.46
D280,22,6,3,3,103.1,0.18
D281,9,3,3,0,70.8,0.35
D282,39,18,9,9,7.5,0.44
D283,45,25,8,17,5.9,0.45
D284,46,3,3,0,100.8,0.08
D285,21,7,5,2,30.2,0.37
D286,15,8,2,6,77.2,0.3
D287,43,41,2,39,40.5,0.44
D288,31,2,2,0,47.0,0.17
D289,11,1,1,0,42.6,0.2
D290,29,5,1,4,20.2,0.24
D291,37,23,16,7,62.7,0.5
D292,20,5,2,3,110.1,0.14
D293,33,18,10,8,97.5,0.35
D294,32,4,1,3,91.7,0.1
D295,17,12,12,0,69.1,0.65
D296,8,6,0,6,35.4,0.37
D297,10,7,5,2,82.4,0.52
D298,46,16,12,4,99.6,0.27
D299,26,3,1,2,59.2,0.16
D300,42,35,20,15,110.3,0.5
D301,17,2,2,0,99.7,0.13
D302,47,19,13,6,18.4,0.43
D303,5,0,0,0,119.5,0.0
D304,10,1,0,1,107.0,0.05
D305,11,6,3,3,47.7,0.42
D306,50,44,34,10,53.2,0.72
D307,50,46,9,37,106.8,0.39
D308,44,6,6,0,61.3,0.21
D309,29,8,0,8,84.4,0.14
D310,16,14,7,7,114.3,0.49
D311,26,3,2,1,67.6,0.16
D312,44,22,1,21,50.8,0.28
D313,15,3,3,0,15.5,0.33
D314,16,0,0,0,95.5,0.04
D315,18,4,4,0,28.6,0.33
D316,38,13,9,4,29.8,0.37
D317,17,10,2,8,95.7,0.28
D318,41,0,0,0,103.7,0.03
D319,12,2,2,0,33.8,0.28
D320,14,1,0,1,20.2,0.19
D321,25,25,25,0,32.4,0.95
D322,23,0,0,0,35.5,0.14
D323,11,11,6,5,65.5,0.66
D324,50,4,3,1,56.6,0.16
D325,26,16,3,13,57.0,0.35
D326,17,1,1,0,57.7,0.15
D327,4,0,0,0,102.4,0.03
D328,30,21,3,18,61.4,0.36
D329,31,4,0,4,42.0,0.17
D330,12,1,0,1,36.6,0.16
D331,43,37,35,2,86.9,0.72
D332,27,19,16,3,38.9,0.64
D333,35,27,3,24,96.2,0.31
D334,10,10,10,0,105.9,0.82
D335,38,13,6,7,56.9,0.29
D336,17,13,5,8,100.2,0.41
D337,28,13,11,2,15.9,0.51
D338,30,10,10,0,34.3,0.41
D339,12,10,7,3,12.7,0.72
D340,8,1,1,0,16.1,0.27
D341,50,23,4,19,69.0,0.26
D342,40,35,35,0,42.9,0.83
D343,10,6,2,4,105.5,0.3
D344,30,27,23,4,10.9,0.84
D345,21,19,9,10,45.4,0.61
D346,39,32,13,19,22.8,0.57
D347,33,14,13,1,17.4,0.5
D348,38,23,3,20,92.7,0.27
D349,39,14,12,2,54.3,0.37
D350,38,35,1,34,75.0,0.36
D351,45,44,17,27,8.3,0.67
D352,20,9,5,4,45.4,0.38
D353,14,13,2,11,70.1,0.43
D354,28,2,0,2,90.2,0.07
D355,4,0,0,0,48.3,0.12
D356,32,21,5,16,47.6,0.4
D357,49,20,18,2,73.6,0.38
D358,6,1,0,1,91.8,0.1
D359,6,5,0,5,36.3,0.39
D360,45,27,15,12,74.8,0.42
D361,29,8,3,5,91.8,0.18
D362,10,5,3,2,17.8,0.47
D363,46,43,37,6,61.0,0.78
D364,45,19,1,18,30.4,0.29
D365,41,3,0,3,28.5,0.17
D366,16,4,2,2,38.3,0.27
D367,10,0,0,0,90.9,0.05
D368,14,2,1,1,66.2,0.17
D369,17,16,11,5,13.3,0.78
D370,50,2,1,1,7.2,0.21
D371,7,5,4,1,54.4,0.61
D372,28,22,20,2,53.0,0.7
D373,10,6,0,6,116.1,0.19
D374,13,12,9,3,57.9,0.73
D375,47,23,2,21,55.2,0.28
D376,9,3,3,0,72.7,0.35
D377,36,5,3,2,105.1,0.11
D378,50,21,7,14,43.3,0.32
D379,13,1,0,1,66.0,0.11
D380,15,11,5,6,88.6,0.44
D381,44,9,3,6,16.8,0.27
D382,19,6,1,5,74.3,0.2
D383,44,4,1,3,114.4,0.05
D384,43,31,29,2,91.8,0.6
D385,40,28,21,7,111.3,0.49
D386,39,39,20,19,104.4,0.58
D387,43,20,4,16,55.6,0.29
D388,33,28,20,8,39.8,0.69
D389,20,18,1,17,45.5,0.42
D390,7,4,3,1,57.0,0.49
D391,6,2,1,1,13.8,0.36
D392,8,8,6,2,58.2,0.78
D393,38,2,1,1,109.5,0.05
D394,39,12,5,7,74.6,0.23
D395,35,9,0,9,56.8,0.18
D396,24,22,2,20,63.0,0.41
D397,14,0,0,0,86.4,0.06
D398,31,10,5,5,47.9,0.3
D399,21,12,6,6,94.1,0.36
D400,46,38,3,35,95.8,0.32
D401,44,21,2,19,42.9,0.29
D402,38,24,9,15,34.0,0.45
D403,45,38,9,29,43.3,0.48
D404,40,9,5,4,40.7,0.26
D405,44,44,42,2,50.1,0.89
D406,41,5,2,3,69.3,0.15
D407,44,21,4,17,82.1,0.25
D408,50,43,33,10,15.7,0.76
D409,45,27,16,11,46.6,0.48
D410,26,9,2,7,114.4,0.15
D411,24,24,15,9,27.1,0.77
D412,11,2,0,2,39.0,0.19
D413,9,8,8,0,101.0,0.74
D414,36,2,2,0,43.7,0.17
D415,42,8,6,2,22.7,0.29
D416,14,13,11,2,93.7,0.72
D417,13,11,7,4,10.0,0.71
D418,26,21,7,14,116.5,0.38
D419,42,18,14,4,31.9,0.44
D420,18,9,7,2,109.0,0.36
D421,15,11,10,1,113.9,0.56
D422,31,29,24,5,37.4,0.81
D423,27,16,16,0,53.1,0.59
D424,13,13,3,10,97.1,0.45
D425,11,4,0,4,78.7,0.18
D426,26,17,3,14,86.8,0.31
D427,36,7,4,3,14.6,0.29
D428,13,4,3,1,109.1,0.23
D429,12,6,0,6,113.8,0.16
D430,17,14,14,0,45.2,0.78
D431,4,3,0,3,50.6,0.34
D432,26,7,6,1,119.4,0.2
D433,26,7,0,7,41.6,0.21
D434,9,5,1,4,20.8,0.39
D435,21,15,4,11,92.3,0.36
D436,33,28,19,9,5.6,0.73
D437,8,0,0,0,29.8,0.15
D438,12,8,8,0,53.7,0.64
D439,21,7,4,3,19.0,0.36
D440,18,13,10,3,96.3,0.53
D441,32,4,0,4,101.2,0.07
D442,34,34,1,33,77.7,0.39
D443,39,15,4,11,38.5,0.3
D444,3,2,0,2,70.6,0.28
D445,14,10,10,0,14.8,0.75
D446,26,2,2,0,67.6,0.15
D447,35,35,1,34,49.9,0.43
D448,33,2,2,0,49.5,0.17
D449,26,8,0,8,46.1,0.22
D450,7,5,1,4,89.3,0.34
D451,43,6,6,0,71.9,0.19
D452,24,4,0,4,45.5,0.17
D453,24,20,5,15,100.5,0.39
D454,46,29,22,7,60.0,0.53
D455,14,12,2,10,12.3,0.51
D456,32,2,1,1,28.2,0.19
D457,15,1,1,0,112.3,0.07
D458,35,25,17,8,59.4,0.56
D459,5,5,1,4,37.9,0.54
D460,6,6,5,1,43.2,0.84
D461,10,5,3,2,107.3,0.32
D462,50,28,28,0,115.0,0.46
D463,24,5,3,2,84.6,0.18
D464,26,25,16,9,35.7,0.74
D465,8,6,0,6,54.5,0.33
D466,14,8,4,4,41.9,0.44
D467,8,5,5,0,39.0,0.64
D468,31,27,5,22,84.3,0.4
D469,25,14,0,14,88.6,0.22
D470,25,19,13,6,36.6,0.63
D471,6,0,0,0,46.8,0.12
D472,50,43,10,33,114.6,0.37
D473,12,9,7,2,9.0,0.7
D474,7,3,2,1,46.6,0.39
D475,39,2,2,0,22.6,0.2
D476,31,23,11,12,56.1,0.51
D477,7,2,2,0,47.2,0.35
D478,23,20,8,12,33.7,0.58
D479,10,0,0,0,62.4,0.1
D480,27,17,3,14,35.1,0.39
D481,19,14,3,11,119.6,0.3
D482,21,15,6,9,19.1,0.53
D483,7,7,2,5,108.3,0.46
D484,31,5,5,0,116.3,0.14
D485,23,21,11,10,86.6,0.57
D486,38,34,18,16,107.5,0.53
D487,13,11,11,0,111.6,0.69
D488,43,11,5,6,63.5,0.23
D489,10,3,1,2,32.2,0.29
D490,34,1,1,0,68.7,0.11
D491,26,14,12,2,118.0,0.4
D492,11,9,1,8,12.6,0.47
D493,28,22,15,7,65.5,0.59
D494,29,26,18,8,13.5,0.76
D495,23,20,2,18,56.7,0.41
D496,46,33,22,11,19.8,0.62
D497,38,37,11,26,93.3,0.48
D498,11,6,4,2,109.7,0.36
D499,6,6,0,6,64.6,0.39
D500,22,5,1,4,42.1,0.22
